fiberlookup_initial,fiberlookup_latency,fiberlookup_stop_latency,fiberlookup_starting,bump,stop_bump,done_bump,empty_bump,fiberlookup_ii,fiberlookup_factor,diff1,diff2,diff3,diff4,diff5,diff6,diff7,diff8,timestamp
13,256,218,40,388,67,227,145,2,0.052295684814453125,397,142,465,455,366,46,201,816,970
138,118,389,91,175,267,69,113,2,0.035875797271728516,384,379,827,692,603,158,563,1053,983
350,118,64,36,47,182,29,265,4,1.7897539138793945,1000,1093,1821,1448,1317,598,1533,2889,996
53,373,316,98,96,45,376,391,4,0.9624450206756592,958,457,888,812,681,259,600,2253,1008
14,150,275,0,126,149,252,11,4,0.1761409044265747,696,117,509,472,341,42,221,1913,1020
95,359,356,42,379,36,94,33,2,1.4428588151931763,582,491,896,804,715,313,632,1165,1033
117,106,93,60,339,199,361,291,1,1.0281143188476562,149,265,658,557,489,96,406,378,1046
105,80,253,62,174,329,286,397,1,0.3404597043991089,111,203,584,495,427,46,332,316,1059
167,165,367,39,67,354,54,44,4,0.27934372425079346,864,591,1136,946,815,279,848,2387,1071
198,96,171,2,58,307,319,178,4,0.681681752204895,826,615,1191,970,839,272,903,2411,1084
168,16,272,19,116,118,151,284,2,0.39132630825042725,312,367,845,680,591,116,581,1041,1095
5,246,251,99,63,332,386,273,2,1.1717084646224976,379,108,423,421,332,20,159,782,1107
273,206,284,24,178,250,392,244,1,0.2266702651977539,405,833,1382,1125,1057,508,1130,946,1120
91,116,176,38,242,346,145,4,4,0.09770870208740234,739,314,783,669,538,78,495,2110,1132
140,82,344,14,273,124,284,235,2,1.9181400537490845,350,349,799,662,573,126,535,1023,1142
345,211,13,70,25,321,30,178,1,0.17944705486297607,482,1054,1675,1346,1278,657,1423,1167,1154
398,30,202,52,300,251,389,298,1,1.0356634855270386,354,1032,1706,1324,1256,582,1454,1145,1167
87,219,71,52,87,309,262,186,2,0.35964107513427734,434,327,724,640,551,157,460,1001,1179
136,307,242,51,367,146,227,292,4,1.677230954170227,975,640,1154,995,864,359,866,2436,1192
282,205,387,23,396,358,204,357,1,0.9271838665008545,413,859,1417,1151,1083,525,1165,972,1204
41,3,244,37,385,218,383,92,4,0.15105915069580078,576,51,470,406,275,135,182,1847,1218
176,394,341,48,17,204,173,123,1,1.060166835784912,496,730,1182,1022,954,502,930,843,1230
11,365,177,73,36,139,357,245,2,1.1258063316345215,504,245,566,558,469,151,302,919,1240
180,23,303,57,158,357,390,138,1,1.4686402082443237,129,371,827,663,595,139,575,484,1252
244,123,4,22,328,383,119,333,2,0.7826834917068481,495,702,1256,1015,926,375,992,1376,1263
135,209,301,3,213,360,49,188,1,0.9997354745864868,270,422,833,714,646,235,581,535,1275
278,166,93,96,367,194,131,255,2,0.2843644618988037,572,847,1435,1160,1071,486,1171,1521,1287
100,44,388,39,54,20,252,86,4,1.0955065488815308,676,269,747,624,493,24,459,2065,1299
85,203,145,0,170,41,149,36,4,0.5356502532958984,820,383,846,738,607,153,558,2179,1311
