fiberlookup_initial,fiberlookup_latency,fiberlookup_stop_latency,fiberlookup_miss_latency,fiberlookup_starting,incr_type,fiberlookup_ii,fiberlookup_numerator_factor,fiberlookup_denominator_factor,diff1,diff2,diff3,diff4,diff5,diff6,diff7,diff8,diff9,diff10,timestamp
0,6,6,60,0,2,1,58,84,6.0,182.0,181.0,8.0,173.0,119.0,98.0,47.0,158.0,180.0,92630
4,2,34,76,15,0,1,144,86,18.0,415.0,414.0,112.0,337.0,310.0,217.0,95.0,309.0,417.0,92677
0,2,7,65,24,0,1,144,86,23.0,409.0,408.0,98.0,308.0,260.0,211.0,85.0,276.0,407.0,92734
0,2,7,85,1,0,1,144,96,3.0,370.0,369.0,80.0,307.0,236.0,193.0,79.0,278.0,368.0,92799
0,2,9,70,1,0,2,152,86,6.0,610.0,608.0,119.0,376.0,925.0,213.0,72.0,339.0,806.0,92845
0,20,2,8,0,0,1,77,100,8.0,157.0,157.0,42.0,89.0,89.0,66.0,7.0,74.0,156.0,92889
0,1,0,19,0,2,1,0,31,18.0,1.0,0.0,103.0,20.0,0.0,1.0,1.0,18.0,0.0,92937
0,2,21,70,1,0,1,144,86,0.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,92978
0,2,7,40,1,0,1,144,86,0.0,361.0,360.0,50.0,235.0,212.0,163.0,37.0,203.0,359.0,93014
0,5,7,71,1,0,1,115,86,0.0,324.0,323.0,54.0,263.0,205.0,166.0,65.0,237.0,322.0,93051
0,2,3,74,1,0,1,144,86,0.0,395.0,394.0,84.0,303.0,246.0,197.0,71.0,271.0,393.0,93086
0,0,0,74,45,0,6,53,93,62.0,1216.0,1210.0,201.0,588.0,3529.0,207.0,129.0,561.0,2210.0,93128
0,2,7,70,1,0,1,153,86,0.0,412.0,411.0,88.0,306.0,253.0,202.0,67.0,272.0,410.0,93168
8,8,7,70,1,0,2,144,85,20.0,603.0,601.0,137.0,400.0,1013.0,215.0,88.0,373.0,808.0,93205
0,2,7,70,1,2,1,144,86,0.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,93241
6,1,7,70,1,0,1,143,70,8.0,472.0,471.0,126.0,358.0,355.0,231.0,82.0,325.0,475.0,93277
0,2,7,93,1,0,1,144,86,0.0,414.0,413.0,103.0,341.0,265.0,216.0,90.0,309.0,412.0,93315
0,2,7,77,1,0,4,144,86,18.0,998.0,994.0,183.0,522.0,2268.0,236.0,89.0,481.0,1593.0,93360
0,2,7,70,1,0,1,144,38,18.0,818.0,817.0,245.0,513.0,480.0,373.0,85.0,443.0,814.0,93408
1,5,7,70,14,0,1,144,80,17.0,430.0,429.0,105.0,325.0,280.0,218.0,82.0,292.0,429.0,93452
0,8,6,58,1,0,1,55,50,0.0,264.0,263.0,22.0,212.0,165.0,132.0,49.0,190.0,261.0,93493
0,8,7,70,1,0,1,127,95,3.0,323.0,322.0,53.0,261.0,204.0,165.0,64.0,235.0,321.0,93540
0,2,7,58,1,0,1,144,86,0.0,379.0,378.0,68.0,271.0,230.0,181.0,55.0,239.0,377.0,93585
0,0,79,0,0,2,2,0,100,12.0,186.0,187.0,87.0,56.0,738.0,5.0,11.0,52.0,383.0,93624
0,48,7,48,1,0,1,144,86,46.0,369.0,369.0,58.0,251.0,221.0,171.0,45.0,219.0,367.0,93662
1,2,7,70,1,0,3,136,86,11.0,774.0,771.0,139.0,432.0,1588.0,211.0,77.0,397.0,1170.0,93700
1,8,0,100,28,2,3,0,55,29.0,510.0,507.0,72.0,355.0,1466.0,132.0,119.0,348.0,908.0,93755
0,0,8,100,24,1,1,0,34,5.0,105.0,104.0,1.0,205.0,104.0,103.0,103.0,203.0,104.0,93799
8,2,7,70,10,0,1,144,86,17.0,408.0,407.0,113.0,336.0,347.0,210.0,92.0,312.0,414.0,93845
0,1,0,70,1,0,1,144,72,0.0,456.0,455.0,104.0,328.0,277.0,220.0,68.0,290.0,453.0,93882
0,8,0,49,9,0,2,91,87,14.0,452.0,450.0,50.0,268.0,831.0,139.0,53.0,244.0,649.0,93931
0,2,7,70,1,0,8,144,86,42.0,1791.0,1783.0,304.0,792.0,4953.0,277.0,102.0,739.0,3182.0,93977
1,0,0,0,0,1,4,0,65,1.0,593.0,596.0,16.0,206.0,2029.0,24.0,7.0,199.0,1187.0,94025
0,2,6,66,1,0,1,144,86,0.0,387.0,386.0,76.0,287.0,238.0,189.0,63.0,255.0,385.0,94069
0,6,10,70,1,0,1,144,86,4.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,94118
0,2,7,28,1,0,1,144,86,0.0,349.0,348.0,38.0,211.0,200.0,151.0,25.0,179.0,347.0,94165
0,43,7,70,1,0,1,144,86,41.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,94219
0,2,7,57,1,0,1,148,87,0.0,384.0,383.0,69.0,272.0,232.0,182.0,54.0,239.0,381.0,94264
0,2,7,63,1,0,1,144,92,2.0,363.0,362.0,64.0,270.0,222.0,177.0,58.0,240.0,360.0,94307
8,1,15,70,1,0,3,142,74,20.0,848.0,845.0,187.0,495.0,1711.0,246.0,94.0,460.0,1251.0,94347
0,2,7,70,3,0,1,144,86,2.0,393.0,392.0,82.0,297.0,244.0,195.0,69.0,265.0,391.0,94385
50,2,9,70,1,0,1,144,86,50.0,441.0,440.0,230.0,495.0,842.0,243.0,167.0,513.0,489.0,94423
0,0,0,67,19,0,1,0,31,0.0,67.0,66.0,37.0,134.0,66.0,65.0,65.0,132.0,66.0,94463
0,2,7,70,5,0,1,144,86,4.0,395.0,394.0,84.0,299.0,246.0,197.0,71.0,267.0,393.0,94501
0,1,7,70,13,0,1,155,99,9.0,382.0,381.0,83.0,296.0,241.0,196.0,77.0,266.0,379.0,94540
0,2,50,70,1,0,1,144,86,0.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,94578
0,12,0,53,0,0,2,44,100,3.0,323.0,321.0,3.0,205.0,757.0,83.0,42.0,192.0,521.0,94617
0,0,7,57,1,0,1,144,71,2.0,450.0,449.0,94.0,306.0,269.0,211.0,57.0,268.0,447.0,94664
0,0,50,0,33,2,1,106,100,25.0,230.0,230.0,5.0,125.0,185.0,104.0,24.0,104.0,228.0,94703
0,2,8,70,1,0,2,144,98,3.0,549.0,547.0,95.0,346.0,891.0,188.0,69.0,314.0,746.0,94739
0,2,80,70,1,0,1,144,86,0.0,391.0,390.0,80.0,295.0,253.0,193.0,67.0,263.0,389.0,94776
0,4,23,18,6,0,1,55,54,1.0,212.0,211.0,18.0,129.0,127.0,91.0,14.0,109.0,210.0,94813
0,2,7,79,1,0,1,144,86,0.0,400.0,399.0,89.0,313.0,251.0,202.0,76.0,281.0,398.0,94851
9,2,7,70,1,0,1,144,89,7.0,389.0,388.0,102.0,326.0,342.0,198.0,83.0,304.0,395.0,94888
0,2,7,42,1,0,10,144,86,54.0,2163.0,2159.0,340.0,878.0,6277.0,273.0,84.0,819.0,3952.0,94923
0,2,6,70,1,0,1,144,86,0.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,94963
1,2,7,70,20,0,1,114,92,15.0,323.0,322.0,67.0,273.0,223.0,176.0,83.0,250.0,322.0,95005
0,2,7,77,1,0,1,144,86,0.0,398.0,397.0,87.0,309.0,249.0,200.0,74.0,277.0,396.0,95044
0,3,7,70,1,0,1,144,86,1.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,95086
2,2,7,70,8,0,1,144,86,9.0,400.0,399.0,93.0,310.0,273.0,202.0,78.0,280.0,400.0,95121
0,0,53,54,13,0,1,0,8,6.0,48.0,47.0,56.0,102.0,47.0,46.0,46.0,100.0,47.0,95160
0,0,7,70,1,0,1,113,86,6.0,318.0,317.0,51.0,259.0,200.0,163.0,62.0,233.0,316.0,95195
0,0,100,0,0,0,3,6,71,5.0,406.0,408.0,47.0,138.0,1446.0,16.0,2.0,130.0,801.0,95234
9,11,8,17,0,0,3,0,95,13.0,408.0,410.0,14.0,194.0,1457.0,30.0,25.0,195.0,814.0,95273
7,4,0,63,0,2,1,0,74,8.0,52.0,51.0,38.0,136.0,128.0,50.0,57.0,141.0,58.0,95312
0,2,7,59,27,0,1,144,86,26.0,406.0,405.0,95.0,299.0,257.0,208.0,82.0,267.0,404.0,95349
0,2,7,70,69,0,2,147,86,74.0,666.0,664.0,182.0,438.0,987.0,276.0,140.0,402.0,863.0,95394
7,2,7,70,1,0,1,130,86,5.0,366.0,365.0,88.0,307.0,307.0,186.0,79.0,284.0,370.0,95433
2,0,7,70,20,0,1,144,86,20.0,412.0,411.0,105.0,322.0,285.0,214.0,90.0,292.0,412.0,95467
1,2,7,89,4,0,1,144,86,4.0,414.0,413.0,105.0,340.0,276.0,216.0,91.0,309.0,413.0,95502
0,2,18,70,1,0,1,144,86,0.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,95537
0,2,7,70,22,0,9,144,86,69.0,2012.0,2003.0,357.0,884.0,5647.0,310.0,128.0,828.0,3602.0,95572
0,2,7,70,1,2,1,144,86,0.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,95614
0,2,7,70,14,0,1,144,86,13.0,404.0,403.0,93.0,308.0,255.0,206.0,80.0,276.0,402.0,95662
0,3,73,3,24,2,3,0,28,19.0,414.0,416.0,28.0,157.0,1432.0,34.0,22.0,151.0,809.0,95703
0,2,7,70,1,0,1,144,53,9.0,602.0,601.0,161.0,403.0,359.0,282.0,76.0,352.0,598.0,95741
0,2,7,60,1,2,1,16,86,14.0,81.0,80.0,46.0,122.0,63.0,57.0,43.0,117.0,80.0,95777
0,20,78,80,0,0,1,16,37,5.0,149.0,148.0,8.0,187.0,110.0,97.0,64.0,177.0,148.0,95814
0,18,39,100,0,1,2,6,73,6.0,299.0,297.0,16.0,261.0,764.0,99.0,86.0,255.0,497.0,95853
5,8,7,77,1,0,1,144,86,11.0,403.0,402.0,102.0,329.0,309.0,205.0,84.0,302.0,406.0,95889
6,2,11,61,1,0,1,144,86,6.0,388.0,387.0,89.0,301.0,305.0,190.0,70.0,275.0,392.0,95924
0,2,7,29,1,0,2,144,86,6.0,550.0,548.0,71.0,284.0,874.0,164.0,31.0,249.0,747.0,95960
0,0,100,20,58,2,1,69,25,65.0,617.0,616.0,172.0,364.0,452.0,293.0,83.0,313.0,614.0,96000
0,2,7,70,1,0,1,144,86,0.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,96045
0,2,4,70,1,0,1,144,86,0.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,96087
2,6,7,54,18,0,1,144,82,23.0,411.0,410.0,93.0,297.0,276.0,203.0,72.0,265.0,410.0,96131
0,2,7,70,4,0,1,144,96,0.0,358.0,357.0,68.0,280.0,224.0,181.0,67.0,251.0,356.0,96171
0,26,0,64,16,0,2,0,85,28.0,261.0,259.0,11.0,196.0,733.0,71.0,64.0,191.0,459.0,96212
0,2,70,7,1,0,1,144,86,0.0,328.0,327.0,17.0,169.0,243.0,130.0,4.0,137.0,326.0,96254
2,0,0,0,0,0,3,16,100,3.0,423.0,425.0,34.0,154.0,1381.0,25.0,2.0,147.0,820.0,96293
0,2,4,71,1,0,1,144,86,0.0,392.0,391.0,81.0,297.0,243.0,194.0,68.0,265.0,390.0,96333
0,0,9,38,0,0,2,34,54,7.0,347.0,345.0,2.0,194.0,763.0,84.0,28.0,178.0,545.0,96385
0,6,10,76,1,0,1,127,86,1.0,357.0,356.0,70.0,287.0,225.0,183.0,70.0,259.0,354.0,96426
28,2,26,70,101,0,3,144,86,140.0,919.0,916.0,328.0,649.0,2024.0,345.0,233.0,639.0,1343.0,96474
10,40,5,70,1,0,1,144,31,73.0,1002.0,1001.0,342.0,641.0,696.0,456.0,112.0,566.0,1006.0,96518
0,2,0,70,1,0,1,144,86,0.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,96562
6,2,18,65,1,0,1,144,86,6.0,392.0,391.0,93.0,309.0,309.0,194.0,74.0,283.0,396.0,96603
1,2,7,70,17,0,1,144,86,17.0,408.0,407.0,99.0,315.0,270.0,210.0,85.0,284.0,407.0,96643
0,2,7,70,44,2,1,78,86,35.0,279.0,278.0,63.0,260.0,197.0,171.0,102.0,241.0,277.0,96684
8,2,11,68,25,0,1,116,86,29.0,355.0,354.0,100.0,314.0,323.0,196.0,102.0,296.0,361.0,96729
10,2,7,70,1,0,1,144,86,10.0,401.0,400.0,110.0,335.0,362.0,203.0,87.0,313.0,409.0,96781
0,2,0,70,1,0,1,151,86,0.0,408.0,407.0,86.0,304.0,251.0,200.0,67.0,270.0,405.0,96826
0,2,7,62,1,0,3,144,86,12.0,783.0,780.0,136.0,421.0,1580.0,209.0,69.0,383.0,1179.0,96867
0,0,100,85,0,1,1,141,88,4.0,391.0,390.0,88.0,317.0,263.0,201.0,79.0,286.0,388.0,96908
1,2,7,97,1,0,7,144,86,37.0,1619.0,1612.0,302.0,779.0,4319.0,293.0,126.0,730.0,2812.0,96954
2,2,7,70,27,0,1,144,86,28.0,419.0,418.0,112.0,329.0,292.0,221.0,97.0,299.0,419.0,96990
0,2,7,70,1,0,1,144,35,21.0,884.0,883.0,269.0,546.0,517.0,400.0,88.0,470.0,879.0,97035
0,2,7,70,1,0,1,165,86,1.0,440.0,439.0,99.0,321.0,269.0,214.0,68.0,284.0,437.0,97079
0,5,13,59,1,0,3,144,86,15.0,780.0,777.0,133.0,415.0,1577.0,206.0,66.0,377.0,1176.0,97123
0,0,78,46,0,0,2,69,88,5.0,386.0,384.0,17.0,226.0,826.0,105.0,38.0,207.0,584.0,97166
2,2,7,70,1,0,1,147,86,2.0,400.0,399.0,88.0,307.0,270.0,198.0,71.0,276.0,400.0,97214
0,7,7,68,1,0,1,144,86,5.0,389.0,388.0,78.0,291.0,240.0,191.0,65.0,259.0,387.0,97252
0,0,0,53,90,0,1,67,100,79.0,260.0,259.0,73.0,247.0,200.0,180.0,130.0,233.0,259.0,97293
0,8,7,49,0,0,1,0,56,11.0,31.0,30.0,73.0,80.0,30.0,29.0,29.0,78.0,30.0,97337
0,0,100,68,13,0,1,38,63,0.0,185.0,184.0,6.0,193.0,163.0,113.0,66.0,181.0,184.0,97376
0,2,7,70,1,0,3,116,86,9.0,725.0,722.0,118.0,404.0,1551.0,190.0,74.0,372.0,1121.0,97415
0,2,7,70,1,0,8,26,86,28.0,1514.0,1506.0,197.0,652.0,4797.0,161.0,88.0,623.0,2906.0,97454
0,6,15,100,4,0,1,58,100,4.0,203.0,202.0,27.0,246.0,150.0,134.0,89.0,234.0,202.0,97499
0,2,7,63,1,0,1,144,86,0.0,384.0,383.0,73.0,281.0,235.0,186.0,60.0,249.0,382.0,97546
0,2,7,70,1,0,1,6,86,15.0,67.0,66.0,46.0,130.0,60.0,57.0,52.0,127.0,66.0,97590
0,2,21,70,1,0,1,144,94,2.0,363.0,362.0,69.0,281.0,225.0,181.0,65.0,251.0,360.0,97630
12,0,7,65,1,0,1,144,86,11.0,398.0,397.0,111.0,333.0,381.0,200.0,86.0,313.0,408.0,97669
4,2,7,84,1,0,1,144,85,4.0,413.0,412.0,107.0,341.0,306.0,213.0,89.0,313.0,415.0,97709
0,20,2,39,109,0,1,77,100,117.0,285.0,284.0,86.0,248.0,216.0,194.0,135.0,233.0,284.0,97759
3,10,7,70,14,0,1,167,79,27.0,496.0,495.0,135.0,365.0,340.0,246.0,89.0,328.0,496.0,97797
0,5,7,70,1,0,1,144,66,7.0,494.0,493.0,119.0,348.0,298.0,237.0,71.0,307.0,491.0,97839
0,2,7,70,142,2,1,144,86,141.0,532.0,531.0,221.0,436.0,383.0,334.0,208.0,404.0,530.0,97887
0,2,7,65,1,0,1,144,82,0.0,403.0,402.0,81.0,294.0,246.0,195.0,62.0,260.0,400.0,97928
0,23,18,19,4,2,1,0,70,7.0,8.0,8.0,96.0,27.0,8.0,6.0,6.0,25.0,7.0,97967
0,2,80,70,112,0,1,144,86,111.0,502.0,501.0,191.0,406.0,364.0,304.0,178.0,374.0,500.0,98007
0,2,7,78,1,0,1,144,91,2.0,381.0,380.0,80.0,302.0,239.0,194.0,73.0,272.0,378.0,98044
0,2,7,70,1,0,1,144,86,0.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,98083
0,0,0,3,0,0,6,14,64,14.0,1042.0,1047.0,66.0,373.0,3398.0,70.0,23.0,358.0,2031.0,98122
17,2,7,41,1,2,1,144,86,17.0,379.0,378.0,102.0,305.0,417.0,181.0,72.0,290.0,394.0,98160
0,8,93,92,1,1,1,55,50,0.0,298.0,297.0,56.0,280.0,201.0,166.0,83.0,258.0,295.0,98206
0,1,7,70,35,0,1,144,96,30.0,389.0,388.0,99.0,311.0,255.0,212.0,98.0,282.0,387.0,98246
0,0,63,84,0,2,2,0,100,12.0,266.0,264.0,6.0,221.0,738.0,76.0,69.0,216.0,464.0,98299
0,2,7,63,1,2,5,144,86,24.0,1184.0,1179.0,201.0,565.0,2927.0,234.0,80.0,521.0,1978.0,98339
0,8,14,100,0,2,3,0,1,1.0,482.0,479.0,42.0,324.0,1427.0,104.0,90.0,316.0,879.0,98381
6,2,7,70,47,0,1,144,99,49.0,398.0,397.0,126.0,343.0,334.0,227.0,122.0,321.0,402.0,98420
0,2,7,70,1,1,1,144,86,0.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,98459
0,7,7,70,1,0,1,139,86,3.0,380.0,379.0,75.0,290.0,234.0,189.0,65.0,259.0,377.0,98496
4,2,7,56,1,0,1,144,86,4.0,381.0,380.0,78.0,283.0,276.0,183.0,61.0,255.0,383.0,98534
1,2,7,70,1,0,1,144,93,1.0,367.0,366.0,73.0,286.0,239.0,183.0,67.0,257.0,366.0,98577
0,1,7,70,1,0,1,144,86,1.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,98623
0,2,7,57,1,0,1,144,82,0.0,395.0,394.0,73.0,278.0,238.0,187.0,54.0,244.0,392.0,98675
0,2,71,91,1,0,1,144,86,0.0,412.0,411.0,101.0,337.0,263.0,214.0,88.0,305.0,410.0,98716
0,0,8,100,24,1,2,0,1,11.0,305.0,303.0,33.0,276.0,777.0,115.0,108.0,271.0,503.0,98755
2,3,7,70,0,0,1,144,83,2.0,404.0,403.0,89.0,309.0,271.0,200.0,70.0,278.0,404.0,98792
0,6,0,49,9,0,2,36,87,6.0,323.0,321.0,0.0,202.0,759.0,85.0,47.0,190.0,521.0,98833
0,17,7,69,1,0,1,144,86,15.0,390.0,389.0,79.0,293.0,241.0,192.0,66.0,261.0,388.0,98878
0,2,50,70,1,0,1,144,86,0.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,98923
0,20,0,0,0,2,4,98,62,33.0,931.0,934.0,123.0,384.0,2214.0,177.0,38.0,348.0,1522.0,98972
0,5,7,70,1,0,1,144,86,3.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,99012
0,0,11,59,1,0,1,143,98,4.0,336.0,335.0,52.0,252.0,206.0,164.0,53.0,223.0,334.0,99050
0,2,7,68,1,0,1,136,86,2.0,371.0,370.0,70.0,282.0,228.0,184.0,63.0,252.0,368.0,99100
0,0,0,67,33,0,1,0,31,14.0,81.0,80.0,23.0,148.0,80.0,79.0,79.0,146.0,80.0,99150
0,2,7,75,1,0,1,144,86,0.0,396.0,395.0,85.0,305.0,247.0,198.0,72.0,273.0,394.0,99191
0,12,6,63,0,0,2,44,100,3.0,333.0,331.0,7.0,225.0,767.0,93.0,52.0,212.0,531.0,99231
0,2,7,70,1,0,1,197,79,6.0,556.0,555.0,143.0,380.0,334.0,263.0,73.0,333.0,553.0,99273
0,2,7,32,1,0,1,144,86,0.0,353.0,352.0,42.0,219.0,204.0,155.0,29.0,187.0,351.0,99315
0,0,50,100,33,1,1,106,80,26.0,382.0,381.0,114.0,352.0,263.0,226.0,124.0,326.0,380.0,99352
0,4,23,100,34,0,1,55,100,24.0,228.0,227.0,55.0,272.0,177.0,160.0,119.0,260.0,226.0,99395
1,3,7,64,1,0,1,118,86,1.0,325.0,324.0,53.0,256.0,213.0,163.0,60.0,231.0,324.0,99433
0,2,7,77,21,0,1,144,97,17.0,379.0,378.0,91.0,310.0,247.0,204.0,91.0,281.0,377.0,99469
0,2,7,81,1,0,1,144,88,2.0,395.0,394.0,88.0,314.0,247.0,201.0,76.0,282.0,392.0,99506
0,34,7,70,1,0,1,144,86,32.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,99552
0,20,18,54,6,0,1,0,57,6.0,41.0,40.0,63.0,95.0,40.0,39.0,39.0,93.0,40.0,99594
0,1,27,70,1,0,1,144,100,4.0,343.0,342.0,61.0,272.0,215.0,174.0,64.0,244.0,341.0,99632
0,2,7,70,137,0,3,144,86,148.0,927.0,924.0,280.0,573.0,1724.0,353.0,213.0,535.0,1323.0,99669
1,2,7,68,40,0,1,170,86,41.0,490.0,489.0,143.0,365.0,324.0,257.0,107.0,329.0,488.0,99704
35,2,7,70,1,0,1,144,86,35.0,426.0,425.0,185.0,435.0,662.0,228.0,137.0,438.0,459.0,99740
7,0,0,0,0,0,3,6,46,2.0,423.0,425.0,21.0,170.0,1438.0,27.0,12.0,169.0,824.0,99777
0,2,7,70,1,0,1,169,86,1.0,450.0,449.0,102.0,325.0,274.0,218.0,68.0,288.0,447.0,99817
0,2,7,91,1,0,1,144,86,0.0,412.0,411.0,101.0,337.0,263.0,214.0,88.0,305.0,410.0,99853
3,6,7,76,1,0,1,144,86,7.0,400.0,399.0,95.0,319.0,284.0,202.0,79.0,290.0,401.0,99886
9,0,25,17,45,0,3,0,95,47.0,452.0,449.0,30.0,238.0,1513.0,74.0,69.0,239.0,858.0,99926
7,8,79,63,0,2,1,0,100,4.0,52.0,51.0,38.0,136.0,145.0,50.0,57.0,141.0,58.0,99970
0,0,7,70,1,0,1,144,86,1.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,100015
14,2,7,70,31,0,1,144,86,44.0,435.0,434.0,152.0,381.0,440.0,237.0,125.0,363.0,447.0,100052
0,3,17,3,24,2,1,0,44,7.0,8.0,8.0,96.0,11.0,22.0,6.0,6.0,9.0,7.0,100090
0,40,7,70,1,0,1,17,86,24.0,93.0,92.0,36.0,143.0,74.0,68.0,53.0,138.0,92.0,100128
50,2,7,70,1,0,1,144,86,50.0,441.0,440.0,230.0,495.0,842.0,243.0,167.0,513.0,489.0,100164
0,2,7,70,10,0,1,144,86,9.0,400.0,399.0,89.0,304.0,251.0,202.0,76.0,272.0,398.0,100202
2,6,7,70,39,0,1,144,86,44.0,431.0,430.0,124.0,341.0,304.0,233.0,109.0,311.0,431.0,100239
0,33,7,70,1,0,1,144,86,31.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,100276
4,2,7,63,16,0,2,144,86,25.0,603.0,601.0,132.0,383.0,971.0,217.0,88.0,352.0,804.0,100312
0,2,7,8,1,0,1,144,86,0.0,329.0,328.0,18.0,171.0,180.0,131.0,5.0,139.0,327.0,100348
0,20,64,31,0,0,1,16,37,5.0,100.0,99.0,57.0,89.0,95.0,48.0,15.0,79.0,99.0,100392
0,2,42,25,1,0,8,174,86,45.0,1817.0,1822.0,286.0,739.0,4993.0,262.0,60.0,679.0,3207.0,100434
0,18,0,100,0,1,2,6,89,6.0,296.0,294.0,15.0,260.0,762.0,98.0,86.0,254.0,494.0,100486
0,2,12,70,1,0,1,144,66,4.0,494.0,493.0,119.0,348.0,298.0,237.0,71.0,307.0,491.0,100521
3,2,7,70,1,0,1,144,86,3.0,394.0,393.0,89.0,307.0,278.0,196.0,73.0,278.0,395.0,100557
2,2,12,70,1,0,1,144,98,1.0,351.0,350.0,69.0,283.0,242.0,178.0,68.0,256.0,351.0,100592
0,0,86,20,58,1,1,69,25,65.0,617.0,616.0,172.0,364.0,438.0,293.0,83.0,313.0,614.0,100631
31,2,9,70,1,0,1,144,86,31.0,422.0,421.0,173.0,419.0,614.0,224.0,129.0,418.0,451.0,100669
0,20,0,64,0,0,2,0,85,7.0,246.0,244.0,26.0,181.0,718.0,56.0,49.0,176.0,444.0,100706
0,2,7,70,1,0,7,144,86,36.0,1591.0,1584.0,272.0,721.0,4280.0,265.0,97.0,671.0,2783.0,100743
2,0,0,98,0,0,6,0,100,14.0,1082.0,1076.0,142.0,541.0,3468.0,140.0,107.0,526.0,2078.0,100781
0,0,34,38,0,0,2,31,88,8.0,291.0,289.0,25.0,165.0,733.0,60.0,27.0,154.0,489.0,100829
4,0,100,85,0,0,2,119,88,5.0,544.0,542.0,112.0,378.0,960.0,196.0,91.0,353.0,745.0,100871
0,2,7,70,55,0,1,144,86,54.0,445.0,444.0,134.0,349.0,296.0,247.0,121.0,317.0,443.0,100909
0,0,78,46,0,1,2,63,25,11.0,737.0,735.0,153.0,404.0,1022.0,252.0,54.0,354.0,933.0,100949
0,15,0,100,0,0,1,67,100,3.0,217.0,216.0,30.0,251.0,157.0,137.0,87.0,237.0,216.0,100990
0,2,7,5,1,2,1,144,86,0.0,326.0,325.0,15.0,165.0,180.0,128.0,2.0,133.0,324.0,101029
0,2,7,32,15,0,1,144,86,14.0,367.0,366.0,56.0,233.0,218.0,169.0,43.0,201.0,365.0,101066
0,8,100,0,0,0,1,0,100,11.0,10.0,10.0,114.0,10.0,82.0,12.0,12.0,12.0,11.0,101106
0,0,100,88,13,0,1,38,63,0.0,205.0,204.0,26.0,233.0,163.0,133.0,86.0,221.0,204.0,101147
0,49,7,89,1,0,1,144,86,47.0,410.0,409.0,99.0,333.0,261.0,212.0,86.0,301.0,408.0,101183
0,2,81,70,1,0,1,144,86,0.0,391.0,390.0,80.0,295.0,254.0,193.0,67.0,263.0,389.0,101222
0,23,15,100,4,0,2,58,100,19.0,403.0,401.0,59.0,317.0,823.0,146.0,94.0,302.0,601.0,101261
0,7,2,100,0,1,1,72,100,5.0,227.0,226.0,34.0,257.0,163.0,142.0,87.0,242.0,226.0,101303
0,21,7,70,1,0,1,144,86,19.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,101343
0,2,7,70,1,0,1,144,68,3.0,481.0,480.0,114.0,341.0,291.0,231.0,70.0,301.0,478.0,101380
0,23,18,19,4,0,1,0,70,7.0,8.0,8.0,96.0,27.0,8.0,6.0,6.0,25.0,7.0,101429
0,0,0,74,0,0,1,0,93,18.0,56.0,55.0,48.0,130.0,55.0,54.0,54.0,128.0,55.0,101472
0,11,7,94,1,0,1,144,86,9.0,415.0,414.0,104.0,343.0,266.0,217.0,91.0,311.0,413.0,101518
0,2,7,70,1,2,1,144,86,0.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,101555
0,8,6,58,1,0,1,55,50,0.0,264.0,263.0,22.0,212.0,165.0,132.0,49.0,190.0,261.0,101598
0,2,7,70,1,0,1,104,86,5.0,297.0,296.0,43.0,248.0,189.0,154.0,62.0,224.0,295.0,101637
0,0,79,0,0,0,2,0,100,12.0,186.0,187.0,87.0,56.0,738.0,5.0,11.0,52.0,383.0,101688
9,0,14,0,0,2,3,0,1,3.0,398.0,400.0,26.0,165.0,1458.0,18.0,15.0,168.0,802.0,101740
0,2,72,70,1,0,1,144,86,0.0,391.0,390.0,80.0,295.0,245.0,193.0,67.0,263.0,389.0,101786
0,0,8,100,0,0,1,0,34,18.0,82.0,81.0,22.0,182.0,81.0,80.0,80.0,180.0,81.0,101831
0,6,0,49,0,0,2,0,4,7.0,231.0,229.0,41.0,151.0,703.0,41.0,34.0,146.0,429.0,101884
