fiberlookup_initial,fiberlookup_latency,fiberlookup_stop_latency,fiberlookup_miss_latency,fiberlookup_starting,incr_type,fiberlookup_ii,fiberlookup_numerator_factor,fiberlookup_denominator_factor,diff1,diff2,diff3,diff4,diff5,diff6,diff7,diff8,diff9,diff10,timestamp
1,5,12,70,1,0,1,154,81,5.0,438.0,437.0,101.0,323.0,279.0,214.0,70.0,288.0,436.0,2027
10,5,9,70,1,0,1,157,77,16.0,475.0,474.0,138.0,373.0,403.0,235.0,90.0,345.0,482.0,2063
1,5,12,70,1,0,1,152,79,5.0,442.0,441.0,102.0,325.0,281.0,216.0,70.0,290.0,440.0,2102
1,3,12,70,1,0,1,154,86,2.0,416.0,415.0,92.0,311.0,266.0,204.0,69.0,278.0,414.0,2149
1,3,12,70,1,0,1,106,86,3.0,303.0,302.0,48.0,254.0,203.0,157.0,64.0,231.0,302.0,2196
1,4,12,70,25,0,1,150,87,27.0,426.0,425.0,110.0,329.0,283.0,223.0,93.0,297.0,425.0,2236
1,3,12,70,1,0,1,162,86,3.0,434.0,433.0,99.0,321.0,277.0,212.0,70.0,286.0,432.0,2279
1,2,7,70,1,0,1,154,86,1.0,416.0,415.0,92.0,311.0,266.0,204.0,69.0,278.0,414.0,2321
1,2,0,70,6,0,1,178,86,9.0,477.0,476.0,118.0,345.0,303.0,233.0,77.0,307.0,475.0,2360
1,10,7,71,38,0,2,154,86,52.0,654.0,652.0,162.0,421.0,977.0,254.0,112.0,385.0,851.0,2398
1,5,17,70,40,0,1,154,86,43.0,455.0,454.0,131.0,350.0,305.0,243.0,108.0,317.0,453.0,2439
8,7,8,70,1,0,1,150,86,13.0,413.0,412.0,109.0,335.0,345.0,208.0,83.0,310.0,419.0,2475
1,2,7,71,1,0,2,154,73,10.0,681.0,679.0,149.0,417.0,977.0,244.0,78.0,375.0,878.0,2513
5,0,4,70,45,0,1,154,86,48.0,464.0,463.0,148.0,371.0,358.0,252.0,121.0,342.0,466.0,2559
4,6,6,70,1,0,1,154,85,8.0,423.0,422.0,102.0,325.0,305.0,209.0,75.0,295.0,424.0,2600
1,11,7,60,23,0,1,154,86,32.0,428.0,427.0,104.0,313.0,278.0,216.0,81.0,280.0,426.0,2641
5,2,8,70,1,0,1,154,79,6.0,451.0,450.0,116.0,344.0,332.0,222.0,78.0,312.0,453.0,2680
1,2,7,70,6,0,1,154,86,6.0,421.0,420.0,97.0,316.0,271.0,209.0,74.0,283.0,419.0,2718
1,2,7,85,54,0,1,181,84,57.0,557.0,556.0,188.0,432.0,376.0,304.0,140.0,393.0,555.0,2753
1,6,7,70,1,0,1,139,83,5.0,392.0,391.0,83.0,299.0,254.0,194.0,69.0,268.0,391.0,2796
1,2,7,79,1,0,1,142,86,1.0,397.0,396.0,90.0,315.0,259.0,201.0,76.0,284.0,395.0,2832
12,2,10,70,1,0,1,154,86,12.0,427.0,426.0,125.0,355.0,398.0,215.0,91.0,333.0,436.0,2866
7,2,14,70,17,0,2,154,88,29.0,629.0,627.0,154.0,418.0,1023.0,235.0,102.0,389.0,833.0,2903
1,2,7,65,1,0,2,152,86,7.0,606.0,604.0,117.0,370.0,932.0,209.0,69.0,334.0,803.0,2946
1,2,1,87,25,0,2,180,86,34.0,718.0,716.0,188.0,471.0,1015.0,283.0,118.0,430.0,915.0,2988
1,2,7,70,1,0,1,154,86,1.0,416.0,415.0,92.0,311.0,266.0,204.0,69.0,278.0,414.0,3029
7,2,1,70,6,0,1,148,86,12.0,413.0,412.0,109.0,334.0,336.0,210.0,86.0,308.0,417.0,3064
1,2,7,70,7,0,1,154,86,7.0,422.0,421.0,98.0,317.0,272.0,210.0,75.0,284.0,420.0,3098
1,0,7,76,43,0,1,154,86,42.0,464.0,463.0,140.0,365.0,314.0,252.0,117.0,332.0,462.0,3139
1,2,7,60,1,0,2,154,86,7.0,606.0,604.0,114.0,362.0,929.0,206.0,64.0,326.0,803.0,3178
0,2,8,70,34,0,1,154,86,33.0,448.0,447.0,122.0,340.0,287.0,236.0,100.0,306.0,445.0,3215
1,7,7,72,9,0,1,154,86,14.0,426.0,425.0,102.0,323.0,276.0,214.0,79.0,290.0,424.0,3259
8,4,30,70,3,0,1,154,77,13.0,466.0,465.0,130.0,362.0,375.0,230.0,86.0,332.0,471.0,3302
2,2,13,67,1,0,2,154,86,8.0,614.0,612.0,124.0,380.0,948.0,214.0,73.0,345.0,812.0,3340
1,2,7,65,1,0,1,154,86,1.0,411.0,410.0,87.0,301.0,261.0,199.0,64.0,268.0,409.0,3383
38,50,1,33,37,0,8,41,11,182.0,2281.0,2288.0,607.0,1149.0,5692.0,520.0,233.0,1104.0,3700.0,3425
1,2,7,83,1,0,1,154,86,1.0,429.0,428.0,105.0,337.0,279.0,217.0,82.0,304.0,427.0,3472
1,11,0,70,1,0,1,125,75,8.0,391.0,390.0,82.0,298.0,252.0,193.0,67.0,267.0,389.0,3509
2,2,7,77,37,0,1,154,86,38.0,460.0,459.0,138.0,365.0,321.0,248.0,114.0,333.0,459.0,3546
1,2,7,70,27,0,1,154,86,27.0,442.0,441.0,118.0,337.0,292.0,230.0,95.0,304.0,440.0,3584
1,44,7,70,1,0,1,153,86,43.0,413.0,412.0,91.0,310.0,265.0,203.0,69.0,277.0,412.0,3636
3,7,41,58,139,0,7,22,15,179.0,1678.0,1671.0,390.0,826.0,4426.0,377.0,226.0,783.0,2872.0,3674
1,3,7,70,3,0,1,154,86,4.0,418.0,417.0,94.0,313.0,268.0,206.0,71.0,280.0,416.0,3716
0,2,7,70,1,0,1,144,86,0.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,3753
0,1,7,70,6,0,1,144,86,4.0,396.0,395.0,85.0,300.0,247.0,198.0,72.0,268.0,394.0,3797
0,4,7,70,1,0,1,144,96,1.0,355.0,354.0,65.0,277.0,221.0,178.0,64.0,248.0,353.0,3834
4,2,7,70,1,0,1,122,86,1.0,343.0,342.0,72.0,285.0,261.0,175.0,72.0,261.0,345.0,3870
0,5,27,70,1,0,1,144,86,3.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,3908
1,2,7,61,1,0,1,144,73,2.0,443.0,442.0,97.0,312.0,277.0,210.0,61.0,275.0,441.0,3956
0,3,7,64,0,0,2,144,86,6.0,584.0,582.0,105.0,353.0,908.0,198.0,65.0,318.0,781.0,3999
0,11,7,65,39,0,2,158,86,54.0,657.0,655.0,157.0,411.0,966.0,252.0,106.0,373.0,853.0,4044
0,2,7,70,1,0,1,149,76,1.0,449.0,448.0,102.0,325.0,273.0,217.0,68.0,287.0,446.0,4083
0,7,7,70,1,0,1,144,94,3.0,363.0,362.0,69.0,281.0,225.0,181.0,65.0,251.0,360.0,4229
10,17,17,11,53,1,7,138,82,113.0,1620.0,1626.0,313.0,714.0,4431.0,287.0,134.0,680.0,2815.0,4263
0,7,7,70,16,0,1,144,86,20.0,406.0,405.0,95.0,310.0,257.0,208.0,82.0,278.0,404.0,4298
0,2,0,70,1,0,1,144,86,0.0,391.0,390.0,80.0,295.0,242.0,193.0,67.0,263.0,389.0,4333
0,2,12,70,1,0,1,134,74,0.0,419.0,418.0,90.0,309.0,257.0,205.0,67.0,275.0,416.0,4375
